code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Tišnovská Nová Ves;71;50;50;8;0;0;0;0;4;14;0;0;5;0;0;0;0;0;0;0;1;2;1;3;1;6;5;0;0
;Trboušany;300;206;206;77;0;0;0;0;5;39;0;1;23;1;1;0;0;0;0;9;0;3;6;15;7;11;8;0;0
;Troskotovice;544;303;303;118;0;0;0;0;39;11;0;1;14;1;7;0;1;0;1;6;2;5;2;45;6;14;27;0;1
;Troubsko;1766;1242;1241;372;1;2;0;3;43;115;0;3;229;10;4;1;3;4;3;41;6;17;21;123;52;117;59;0;4
;Tvarožná;1013;771;771;143;0;0;0;0;42;162;0;0;83;3;8;0;0;2;0;38;1;26;17;89;19;74;56;0;1
;Újezd u Brna;2591;1839;1838;482;3;4;1;0;109;233;1;1;209;8;14;1;7;8;7;58;6;40;23;242;70;144;155;2;0
;Újezd u Rosic;223;151;151;51;0;2;0;0;27;20;0;0;2;0;3;0;0;0;0;9;0;2;1;8;5;15;6;0;0
;Újezd u Tišnova;108;70;70;18;1;0;0;0;8;13;0;0;1;0;0;0;0;0;0;4;0;0;2;10;2;3;7;0;0
;Unín;196;130;130;33;0;0;0;0;16;3;0;0;17;0;0;0;0;0;1;12;0;3;0;21;7;14;3;0;0
;Unkovice;588;384;384;105;0;0;0;1;34;36;0;2;37;7;6;1;0;5;1;9;2;8;3;38;10;40;38;0;1
;Úsuší;106;80;80;20;0;0;0;0;9;10;1;0;7;0;0;0;0;0;0;0;0;4;0;12;1;3;13;0;0
;Velatice;553;430;430;57;1;1;1;1;10;133;0;2;59;4;1;0;0;0;0;16;0;10;7;52;15;32;23;0;1
